sectionname,starttime,endtime,duration,responsetime,delta,condition,response,accuracy
Stim2_78,359.2145290374756,359.71475195884705,0.50022292137146,,,,,
Stim2_79,359.7524981498718,360.4647481441498,0.7122499942779541,360.4647481441498,0.7122499942779541,left-inc,left,1
Stim2_80,360.4979200363159,360.9980731010437,0.5001530647277832,,,,,
Stim2_81,361.03123807907104,361.71459197998047,0.6833539009094238,361.71459197998047,0.6833539009094238,right-neut,right,1
Stim2_82,361.74793004989624,362.25240302085876,0.5044729709625244,,,,,
Stim2_83,362.2855999469757,362.86465215682983,0.579052209854126,362.86465215682983,0.579052209854126,right-neut,right,1
Stim2_84,362.89819407463074,363.41468501091003,0.5164909362792969,,,,,
Stim2_85,363.44792103767395,364.08126497268677,0.6333439350128174,364.08126497268677,0.6333439350128174,left-con,left,1
Stim2_86,364.1146230697632,364.6147849559784,0.50016188621521,,,,,
Stim2_87,364.6479449272156,365.51493215560913,0.8669872283935547,365.51493215560913,0.8669872283935547,right-con,right,1
Stim2_88,365.5482521057129,366.0646870136261,0.516434907913208,,,,,
Stim2_89,366.09800815582275,366.83138704299927,0.7333788871765137,366.83138704299927,0.7333788871765137,right-neut,right,1
Stim2_90,366.8648130893707,367.38151812553406,0.5167050361633301,,,,,
Stim2_91,367.41463804244995,368.0313310623169,0.6166930198669434,368.0313310623169,0.6166930198669434,left-con,left,1
Stim2_92,368.0646879673004,368.5647361278534,0.5000481605529785,,,,,
Stim2_93,368.59799098968506,369.26495695114136,0.6669659614562988,369.26495695114136,0.6669659614562988,left-con,left,1
Stim2_94,369.29805612564087,369.7980799674988,0.5000238418579102,,,,,
Stim2_95,369.83149909973145,370.548180103302,0.7166810035705566,370.548180103302,0.7166810035705566,left-inc,left,1
Stim2_96,370.58138608932495,371.08579897880554,0.5044128894805908,,,,,
Stim2_97,371.119136095047,371.74807500839233,0.6289389133453369,371.74807500839233,0.6289389133453369,right-neut,right,1
Stim2_98,371.78138995170593,372.281445980072,0.5000560283660889,,,,,
Stim2_99,372.3147029876709,373.04807901382446,0.7333760261535645,373.04807901382446,0.7333760261535645,right-con,right,1
Stim2_100,373.08595609664917,373.5981140136719,0.5121579170227051,,,,,
